常一线产率,常二线产率,常三线产率
0.108,0.162,0.058
0.121,0.15,0.034
0.105,0.162,0.062
0.113,0.156,0.062
0.116,0.152,0.038
0.126,0.158,0.063
0.105,0.154,0.051
0.119,0.148,0.05
0.116,0.149,0.038
0.117,0.147,0.035
0.11,0.16,0.047
0.127,0.148,0.037
0.113,0.145,0.045
0.113,0.164,0.051
0.116,0.156,0.036
0.118,0.149,0.059
0.13,0.142,0.036
0.112,0.154,0.045
0.124,0.151,0.061
0.112,0.16,0.053
0.124,0.144,0.057
0.116,0.147,0.054
0.105,0.161,0.055
0.119,0.144,0.034
0.116,0.156,0.051
0.114,0.156,0.054
0.119,0.151,0.038
0.119,0.151,0.049
0.113,0.153,0.059
0.116,0.154,0.052
0.126,0.146,0.053
0.117,0.143,0.053
0.101,0.162,0.059
0.113,0.156,0.052
0.109,0.152,0.047
0.117,0.156,0.061
0.106,0.165,0.05
0.12,0.155,0.051
0.1,0.162,0.057
0.124,0.149,0.064
0.127,0.14,0.032
0.111,0.144,0.058
0.121,0.153,0.041
0.119,0.149,0.039
0.109,0.16,0.058
0.119,0.139,0.045
0.121,0.147,0.052
0.116,0.153,0.037
0.117,0.152,0.05
0.119,0.14,0.031
0.12,0.154,0.064
0.109,0.149,0.065
0.113,0.146,0.051
0.118,0.155,0.038
0.099,0.162,0.063
0.122,0.152,0.037
0.116,0.156,0.05
0.112,0.167,0.057
0.104,0.161,0.05
0.119,0.15,0.039
0.11,0.153,0.052
0.105,0.154,0.036
0.128,0.155,0.062
0.108,0.151,0.041
0.109,0.156,0.058
0.099,0.158,0.059
0.12,0.148,0.033
0.104,0.164,0.039
0.115,0.154,0.056
0.125,0.151,0.039
0.119,0.146,0.046
0.111,0.147,0.056
0.116,0.16,0.051
0.122,0.149,0.061
0.115,0.158,0.049
0.119,0.152,0.033
0.112,0.151,0.057
0.099,0.159,0.041
0.112,0.153,0.05
0.128,0.156,0.061
0.116,0.146,0.046
0.121,0.149,0.039
0.117,0.143,0.054
0.117,0.141,0.052
0.121,0.141,0.053
0.112,0.15,0.056
0.106,0.16,0.044
0.123,0.151,0.035
0.113,0.16,0.05
0.117,0.153,0.039
0.115,0.153,0.053
0.101,0.164,0.041
0.105,0.162,0.041
0.124,0.145,0.034
0.103,0.161,0.061
0.108,0.163,0.058
0.112,0.161,0.05
0.117,0.147,0.047
0.12,0.141,0.035
0.119,0.142,0.04
0.126,0.154,0.036
0.1,0.168,0.056
0.103,0.161,0.046
0.107,0.163,0.049
0.114,0.141,0.051
0.114,0.15,0.035
0.117,0.147,0.039
0.124,0.148,0.032
0.117,0.144,0.051
0.116,0.148,0.054
0.111,0.154,0.049
0.115,0.143,0.048
0.12,0.152,0.038
0.122,0.148,0.032
0.126,0.161,0.064
0.131,0.153,0.061
0.121,0.148,0.036
0.108,0.158,0.042
0.107,0.162,0.053
0.124,0.148,0.035
0.102,0.16,0.043
0.124,0.153,0.036
0.126,0.148,0.03
0.109,0.16,0.052
0.119,0.152,0.034
0.123,0.155,0.056
0.113,0.15,0.053
0.127,0.158,0.061
0.115,0.159,0.053
0.112,0.145,0.048
