StripChart:,HMI,
Date:, Tue Feb 28 20:42:02 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 244,
Time Interval,         1, to ,      4861,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
         841,     115.201,     211.797,     282.355,      318.68,     360.022,     78094.5,      120037,     49999.8,     39999.9,     173.465,     161.851,     265.682,     67.0874,     326.786,     369.238,      203500,     27999.7,     31999.9,     10999.9,     159.667,
         861,     115.201,     211.797,     282.352,     318.677,     360.021,     78093.6,      120036,     49999.8,     39999.9,     173.471,     161.852,      265.68,     67.0884,     326.786,     369.238,      203500,     27999.7,     31999.9,     10999.9,     159.666,
         881,     115.201,     211.797,     282.349,     318.673,     360.021,     78092.6,      120036,     49999.8,     39999.9,     173.471,     161.852,      265.68,     67.0884,     326.786,     369.238,      203500,     27999.7,     31999.9,     10999.9,     159.665,
         901,     115.201,     211.796,     282.347,      318.67,      360.02,     78091.7,      120036,     49999.8,     39999.9,     173.471,     161.852,      265.68,     67.0884,     326.771,     369.233,      203500,     27999.7,     31999.9,     10999.9,     159.665,
         921,     115.202,     211.796,     282.344,     318.667,     360.019,     78090.8,      120036,     49999.8,     39999.8,     173.477,     161.853,     265.678,     67.0893,     326.771,     369.233,      203500,     27999.7,     31999.9,     10999.9,     159.664,
         941,     115.202,     211.795,     282.342,     318.664,     360.019,       78090,      120035,     49999.8,     39999.8,     173.477,     161.853,     265.678,     67.0893,     326.771,     369.233,      203500,     27999.7,     31999.9,     10999.9,     159.663,
         961,     115.202,     211.795,     282.339,     318.661,     360.018,     78089.2,      120035,     49999.8,     39999.8,     173.477,     161.853,     265.678,     67.0893,     326.756,     369.226,      203500,     27999.7,     31999.9,     10999.9,     159.662,
         981,     115.202,     211.795,     282.337,     318.658,     360.018,     78088.3,      120035,     49999.8,     39999.8,     173.483,     161.853,     265.676,     67.0902,     326.756,     369.226,      203500,     27999.8,     31999.9,     10999.9,     159.662,
        1001,     115.203,     211.794,     282.335,     318.654,     360.017,     78087.6,      120035,     49999.8,     39999.8,     173.483,     161.853,     265.676,     67.0902,     326.756,     369.226,      203500,     27999.8,     31999.9,     10999.9,     159.661,
        1021,     115.203,     211.794,     282.332,     318.651,     360.016,     78086.8,      120034,     49999.8,     39999.8,     173.483,     161.853,     265.676,     67.0902,     326.741,     369.217,      203500,     27999.8,     31999.9,     10999.9,      159.66,
