StripChart:,Data,
Date:, Tue Feb 14 15:14:22 2023
,
Number of Data Variables =, 13,
Max Number of Data Points =, 100000,
Number of Data Points =, 14918,
Time Interval,         1, to ,    895021,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - Research Octane Number (Naptha),Diesel Centane Index - Cetane Index (DieselMix),HMI - G8:,HMI - G10:,HMI - G11:,HMI - G13:,HMI - G14:,HMI - G15:,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),
[seconds],[],[],[],[],[],[],[],[],[C],[C],[C],[C],[C],
        2701,     60.3947,     46.6439,     20.7731,     13.2848,     16.4706,      99.144,    0.425527,    0.430598,     172.699,     154.417,     260.091,     323.455,     364.285,
        2761,     60.3917,     46.6262,     20.7014,     13.2856,     16.4711,     99.1463,    0.425528,    0.428242,     172.462,     154.368,     259.985,     323.012,     364.139,
        2821,     60.3878,     46.6092,     20.6274,     13.2861,     16.4715,     99.1475,    0.425529,    0.426983,     172.242,     154.365,     259.932,     322.583,     363.974,
        2881,     60.3833,     46.5934,     20.5521,      13.287,     16.4723,     99.1482,    0.425529,    0.426311,      172.04,     154.396,     259.923,     322.182,     363.791,
        2941,     60.3784,     46.5791,     20.4773,     13.2886,      16.474,     99.1485,    0.425529,    0.425952,     171.856,     154.457,      259.95,       321.8,     363.593,
        3001,     60.3733,     46.5668,     20.4023,     13.2907,     16.4764,     99.1487,    0.425529,     0.42576,     171.691,     154.541,     260.008,     321.442,     363.382,
        3061,     60.3682,     46.5566,     20.3164,     13.2914,     16.4774,     99.1488,    0.425529,    0.425658,     171.542,     154.648,     260.092,     321.109,     365.444,
        3121,     60.3631,     46.5487,      20.241,     13.2937,       16.48,     99.1489,     0.42553,    0.425602,     171.412,     154.795,     260.199,     320.802,     365.219,
        3181,     60.3578,      46.543,     20.1657,     13.2961,     16.4829,     99.1489,     0.42553,    0.425573,     171.297,     154.974,      260.33,     320.525,     364.981,
        3241,     60.3526,     46.5396,     20.0888,     13.2982,     16.4855,     99.1489,     0.42553,    0.425557,     171.197,     155.165,     260.485,     320.277,     364.729,
        3301,     60.3474,     46.5384,     20.0104,        13.3,     16.4876,     99.1489,     0.42553,    0.425548,     171.112,     155.359,     260.655,     320.059,     364.466,
        3361,     60.3425,     46.5392,     19.9312,     13.3014,     16.4893,     99.1489,     0.42553,    0.425543,     171.041,     155.549,     260.832,     319.872,     364.193,
        3421,     60.0563,     46.5421,     19.8518,     13.3025,     16.4907,     99.1489,    0.425531,     0.42554,     170.982,     155.734,     261.012,     319.714,     363.911,
        3481,     60.0516,     46.5466,     19.7729,     13.3036,     16.4921,     99.1489,    0.425531,    0.425538,     170.934,     155.913,     261.195,     319.584,     363.622,
        3541,     60.0471,     46.5526,     19.6947,     13.3048,     16.4934,     99.1489,    0.425531,    0.425537,     170.896,     156.089,      261.38,     319.481,     363.328,
        3601,      60.325,     46.5598,     19.6173,     13.3059,     16.4948,     99.1489,    0.425531,    0.425537,     170.867,     156.262,     261.568,     319.402,     363.029,
        3661,     60.3209,     46.5681,     19.5407,     13.3069,      16.496,     99.1489,    0.425531,    0.425536,     170.846,     156.434,     261.758,     319.347,     362.728,
        3721,     60.3169,     46.5772,     19.4648,     13.3078,     16.4971,     99.1489,    0.425531,    0.425536,     170.833,     156.606,     261.951,     319.313,     362.426,
        3781,     60.3129,     46.5869,     19.3897,     13.3085,      16.498,     99.1489,    0.425531,    0.425535,     170.826,     156.775,     262.147,     319.297,     362.124,
        3841,      60.309,     46.5972,     19.3153,      13.309,     16.4986,     99.1489,    0.425531,    0.425535,     170.825,     156.941,     262.345,       319.3,     361.825,
        3901,     60.3051,     46.6077,     19.2417,     13.3092,     16.4989,     99.1489,    0.425531,    0.425535,     170.829,     157.104,     262.545,     319.317,     361.529,
        3961,     60.3014,     46.6186,     19.1688,     13.3093,      16.499,     99.1489,    0.425531,    0.425535,     170.839,     157.262,     262.746,     319.349,     361.238,
        4021,     60.2978,     46.6295,     19.0969,     13.3093,     16.4989,     99.1489,    0.425531,    0.425535,     170.853,     157.416,     262.945,     319.392,     360.954,
        4081,     60.2944,     46.6405,      19.026,     13.3092,     16.4988,     99.1489,    0.425531,    0.425535,     170.872,     157.564,     263.143,     319.446,     360.678,
        4141,     60.2912,     46.6515,     18.9561,     13.3091,     16.4987,     99.1489,    0.425531,    0.425535,     170.894,     157.707,     263.342,      319.51,     360.518,
        4201,     60.2881,     46.6624,     18.8873,     13.3091,     16.4986,     99.1489,    0.425531,    0.425535,     170.919,     157.498,     263.541,     319.582,     360.266,
        4261,     60.2853,     46.6731,     18.8198,     13.3091,     16.4986,     99.1489,    0.425531,    0.425535,     170.948,     157.639,     263.739,      319.66,     360.026,
        4321,     60.2827,     46.6835,     18.7536,     13.3092,     16.4987,     99.1489,    0.425531,    0.425535,     170.979,     157.774,     263.936,     319.744,     359.798,
        4381,     60.2803,     46.6937,     18.6886,     13.3094,      16.499,     99.1489,    0.425531,    0.425535,     171.013,     157.901,     264.121,     319.833,     359.583,
        4441,     60.2781,     46.7036,     18.6249,     13.3097,     16.4993,     99.1489,    0.425531,    0.425535,     171.048,     158.022,     264.305,     319.927,     359.382,
        4501,     60.2762,     46.7132,     18.5626,     13.3101,     16.4998,     99.1489,    0.425531,    0.425535,     171.086,     158.137,     264.488,     320.023,     359.195,
        4561,     60.2745,     46.7224,     18.5016,     13.3106,     16.5004,     99.1489,    0.425531,    0.425535,     171.125,     158.244,     264.668,     320.122,     358.209,
        4621,      60.273,     46.7313,     18.4419,     13.3112,     16.5011,     99.1489,    0.425531,    0.425534,     171.165,     158.346,     264.846,     320.223,     358.096,
        4681,     60.2717,     46.7398,     18.3836,     13.3118,     16.5018,     99.1489,    0.425531,    0.425534,     171.214,     158.441,     265.022,     320.325,     357.994,
        4741,     60.2706,     46.7479,     18.3267,     13.3125,     16.5026,     99.1489,    0.425531,    0.425534,     171.256,      158.53,     265.194,     320.429,     357.903,
        4801,     60.2696,     46.7556,     18.2711,      13.313,     16.5034,     99.1489,    0.425531,    0.425534,       171.3,     158.614,     265.363,     320.533,     357.824,
        4861,     60.2689,     46.7629,      18.217,     13.3138,     16.5043,     99.1489,    0.425532,    0.425533,     171.343,     158.692,     265.528,     320.637,     357.756,
        4921,     60.2683,     46.7697,     18.1642,     13.3145,     16.5051,     99.1489,    0.425532,    0.425533,     171.388,     158.766,     265.689,     320.741,       357.7,
        4981,     60.2679,     46.7762,     18.1129,     13.3152,      16.506,     99.1489,    0.425532,    0.425533,     171.432,     158.835,     265.846,     320.845,     357.654,
        5041,     60.2676,     46.7823,      18.063,     13.3158,     16.5068,     99.1489,    0.425532,    0.425533,     171.477,     158.899,         266,     320.949,     357.619,
        5101,     60.2675,      46.788,     18.0145,     13.3165,     16.5075,     99.1489,    0.425532,    0.425532,     171.522,     158.959,     266.148,     321.052,     357.594,
        5161,     60.2675,     46.7933,     17.9675,     13.3171,     16.5083,     99.1489,    0.425532,    0.425532,     171.567,     159.016,     266.293,     321.154,     357.579,
        5221,     60.2676,     46.7982,      17.922,     13.3176,     16.5089,     99.1489,    0.425532,    0.425532,     171.612,     159.069,     266.433,     321.254,     357.574,
        5281,     60.2678,     46.8028,     17.8779,     13.3181,     16.5096,     99.1489,    0.425532,    0.425532,     171.656,     159.119,     266.568,     321.354,     357.577,
        5341,     60.2681,      46.807,     17.8353,     13.3186,     16.5101,     99.1489,    0.425532,    0.425531,     171.701,     159.165,     266.699,     321.453,     357.589,
        5401,     60.2685,     46.8109,     17.7943,      13.319,     16.5106,     99.1489,    0.425532,    0.425531,     171.746,     159.209,     266.825,      321.55,     357.609,
        5461,      60.269,     46.8144,     17.7547,     13.3194,      16.511,     99.1489,    0.425532,    0.425531,      171.79,      159.25,     266.946,     321.646,     357.636,
        5521,     60.2695,     46.8176,     17.7167,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     171.833,     159.288,     267.063,     321.741,     357.669,
        5581,     60.2702,     46.8205,     17.6802,     13.3199,     16.5117,     99.1489,    0.425532,    0.425531,     171.877,     159.325,     267.175,     321.834,     357.709,
        5641,     60.2709,     46.8231,     17.6453,     13.3201,     16.5119,     99.1489,    0.425532,    0.425531,      171.92,     159.359,     267.283,     321.926,     357.755,
        5701,     60.2717,     46.8255,     17.6118,     13.3202,     16.5121,     99.1489,    0.425532,    0.425531,     171.962,      159.39,     267.386,     322.017,     357.805,
        5761,     60.2726,     46.8276,       17.58,     13.3203,     16.5122,     99.1489,    0.425532,    0.425531,     172.005,      159.42,     267.485,     322.109,      357.86,
