StripChart:,HMI,
Date:, Tue Feb 28 23:12:42 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 2104,
Time Interval,         1, to ,     42061,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
         741,      116.92,     200.204,     268.919,      302.47,     360.277,      120158,      118315,       49993,     39995.4,     156.758,     143.525,      236.17,     49.1064,     292.665,     322.699,      234665,     25002.9,     32004.7,     11001.8,     217.192,
         761,     116.925,      200.18,     268.881,     302.446,     360.294,      120184,      118314,     49992.9,     39995.4,     156.758,     143.525,      236.17,     49.1064,     292.665,     322.699,      234676,     25002.9,     32004.7,     11001.8,     217.215,
         781,      116.93,     200.157,     268.843,     302.422,     360.309,      120210,      118313,     49992.7,     39995.4,     156.758,     143.525,      236.17,     49.1064,     292.582,     322.641,      234689,     25002.9,     32004.7,     11001.8,     217.238,
         801,     116.934,     200.134,     268.805,     302.398,     360.323,      120236,      118312,     49992.7,     39995.5,     156.754,     143.463,     235.991,     49.0539,     292.582,     322.641,      234704,     25002.9,     32004.7,     11001.8,     217.261,
         821,     116.938,     200.111,     268.768,     302.374,     360.334,      120262,      118311,     49992.6,     39995.5,     156.754,     143.463,     235.991,     49.0539,     292.582,     322.641,      234720,     25002.9,     32004.6,     11001.8,     217.283,
         841,     116.942,     200.089,     268.732,      302.35,     360.345,      120287,      118310,     49992.6,     39995.6,     156.754,     143.463,     235.991,     49.0539,     292.492,     322.573,      234738,     25002.8,     32004.6,     11001.8,     217.305,
         861,     116.946,     200.066,     268.695,     302.326,     360.355,      120311,      118309,     49992.6,     39995.7,      156.75,     143.403,     235.823,     49.0045,     292.492,     322.573,      234757,     25002.8,     32004.5,     11001.8,     217.327,
         881,     116.949,     200.044,     268.659,     302.301,     360.362,      120335,      118308,     49992.7,     39995.9,      156.75,     143.403,     235.823,     49.0045,     292.492,     322.573,      234777,     25002.8,     32004.5,     11001.7,     217.348,
         901,     116.951,     200.022,     268.623,     302.277,     360.367,      120359,      118307,     49992.8,       39996,      156.75,     143.403,     235.823,     49.0045,     292.394,     322.495,      234782,     25002.8,     34987.4,     11001.7,     217.365,
         921,     116.954,         200,      268.59,     302.252,     360.369,      120382,      118306,     49992.9,     39996.2,     156.746,     143.347,     235.665,     48.9579,     292.394,     322.495,      234787,     25002.6,     35665.8,     11001.6,     217.382,
