StripChart:,HMI,
Date:, Thu Mar 09 15:32:27 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 223,
Time Interval,         1, to ,      4441,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
        1521,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1541,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1561,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1581,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1601,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1621,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1641,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1661,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1681,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1701,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1721,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1741,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1761,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1781,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1801,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1821,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1841,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1861,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1881,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1901,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1921,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1941,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1961,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1981,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2001,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2021,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2041,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2061,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2081,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2101,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2121,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.477,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2141,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.477,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        2161,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.477,     64.5431,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
