StripChart:,HMI,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, Thu Mar 09 21:39:45 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Variables =,26,,,,,,,,,,,,,,,,,,,,,,,,,
Max Number of Data Points =,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Points =,190,,,,,,,,,,,,,,,,,,,,,,,,,
Time Interval,1, to ,3781,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- 
2561,113.286,211.468,282.097,314.785,360,80878.7,119999,50000,40000,172.47,159.405,264.798,66.4927,323.412,360.274,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2581,113.286,211.468,282.097,314.785,360,80878.8,119999,50000,40000,172.47,159.405,264.798,66.4927,323.412,360.273,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2601,113.286,211.468,282.097,314.785,360,80878.8,119999,50000,40000,172.469,159.405,264.798,66.4926,323.412,360.273,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2621,113.286,211.468,282.097,314.785,360,80878.8,119999,50000,40000,172.469,159.405,264.798,66.4926,323.412,360.273,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2641,113.286,211.468,282.097,314.785,360,80878.9,119999,50000,40000,172.469,159.405,264.798,66.4926,323.412,360.273,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2661,113.286,211.468,282.097,314.785,360,80878.9,119999,50000,40000,172.469,159.405,264.798,66.4926,323.412,360.273,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2681,113.286,211.468,282.097,314.785,360,80878.9,119999,50000,40000,172.469,159.405,264.798,66.4926,323.412,360.273,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2701,113.286,211.468,282.097,314.785,360,80879,119999,50000,40000,172.469,159.405,264.798,66.4926,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2721,113.286,211.468,282.097,314.785,360,80879,119999,50000,40000,172.469,159.405,264.798,66.4925,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2741,113.286,211.468,282.097,314.785,360,80879,119999,50000,40000,172.469,159.405,264.798,66.4925,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2761,113.286,211.468,282.097,314.785,360,80879,119999,50000,40000,172.469,159.405,264.798,66.4925,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2781,113.286,211.468,282.097,314.785,360,80879.1,119999,50000,40000,172.469,159.405,264.798,66.4925,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2801,113.286,211.468,282.097,314.785,360,80879.1,119999,50000,40000,172.469,159.405,264.798,66.4925,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2821,113.286,211.468,282.097,314.785,360,80879.1,119999,50000,40000,172.469,159.405,264.798,66.4925,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2841,113.286,211.468,282.098,314.785,360,80879.1,119999,50000,40000,172.469,159.405,264.798,66.4924,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2861,113.286,211.468,282.098,314.785,360,80879.2,119999,50000,40000,172.469,159.405,264.798,66.4924,323.412,360.272,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2881,113.286,211.468,282.098,314.785,360,80879.2,119999,50000,40000,172.469,159.405,264.798,66.4924,323.412,360.271,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2901,113.285,211.468,282.098,314.785,360,80879.2,119999,50000,40000,172.469,159.405,264.798,66.4924,323.412,360.271,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2921,113.285,211.468,282.098,314.785,360,80879.2,119999,50000,40000,172.469,159.405,264.798,66.4924,323.412,360.271,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2941,113.285,211.468,282.098,314.785,360,80879.3,119999,50000,40000,172.469,159.405,264.798,66.4924,323.412,360.271,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2961,113.285,211.468,282.098,314.785,360,80879.3,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.271,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2981,113.285,211.468,282.098,314.785,360,80879.3,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.271,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
3001,113.285,211.468,282.098,314.785,360,80879.3,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.27,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
3021,113.285,211.468,282.098,314.785,360,80879.3,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.27,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
3041,113.285,211.468,282.098,314.785,360,80879.4,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.27,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
3061,113.285,211.468,282.098,314.785,360,80879.4,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.27,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
3081,113.285,211.469,282.098,314.785,360,80879.4,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.27,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3101,113.285,211.469,282.098,314.785,360,80879.4,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.27,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3121,113.285,211.469,282.098,314.785,360,80879.4,119999,50000,40000,172.468,159.405,264.798,66.4923,323.412,360.27,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3141,113.285,211.469,282.098,314.785,360,80879.5,119999,50000,40000,172.468,159.405,264.798,66.4922,323.412,360.27,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3161,113.285,211.469,282.098,314.785,360,80879.5,119999,50000,40000,172.468,159.405,264.798,66.4922,323.412,360.27,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3181,113.285,211.469,282.098,314.785,360,80879.5,119999,50000,40000,172.468,159.405,264.798,66.4922,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3201,113.285,211.469,282.098,314.785,360,80879.5,119999,50000,40000,172.468,159.405,264.798,66.4922,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3221,113.285,211.469,282.098,314.785,360,80879.5,119999,50000,40000,172.468,159.405,264.798,66.4922,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3241,113.285,211.469,282.098,314.785,360,80879.5,119999,50000,40000,172.468,159.405,264.798,66.4922,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3261,113.285,211.469,282.098,314.785,360,80879.6,119999,50000,40000,172.468,159.405,264.798,66.4922,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3281,113.285,211.469,282.098,314.785,360,80879.6,119999,50000,40000,172.468,159.405,264.798,66.4922,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3301,113.285,211.469,282.098,314.785,360,80879.6,119999,50000,40000,172.468,159.405,264.798,66.4922,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3321,113.285,211.469,282.098,314.785,360,80879.6,119999,50000,40000,172.468,159.405,264.798,66.4921,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3341,113.285,211.469,282.098,314.785,360,80879.6,119999,50000,40000,172.468,159.405,264.798,66.4921,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3361,113.285,211.469,282.098,314.785,360,80879.6,119999,50000,40000,172.468,159.405,264.798,66.4921,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3381,113.285,211.469,282.098,314.785,360,80879.6,119999,50000,40000,172.468,159.405,264.798,66.4921,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3401,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.468,159.405,264.798,66.4921,323.411,360.269,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3421,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.468,159.405,264.798,66.4921,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3441,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.467,159.405,264.798,66.4921,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3461,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.467,159.405,264.798,66.4921,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3481,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.467,159.405,264.798,66.4921,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3501,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3521,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3541,113.285,211.469,282.098,314.785,360,80879.7,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3561,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3581,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3601,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3621,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3641,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3661,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3681,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3701,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.268,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3721,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.492,323.411,360.267,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3741,113.285,211.469,282.098,314.785,360,80879.8,119999,50000,40000,172.467,159.405,264.798,66.4919,323.411,360.267,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3761,113.285,211.469,282.098,314.785,360,80879.9,119999,50000,40000,172.467,159.405,264.798,66.4919,323.411,360.267,235000,29000,34000,8000,161.744,80411,80411,39924,39924,114665,114665
3781,113.285,211.469,282.098,314.785,360,80879.9,119999,50000,40000,172.467,159.405,264.798,66.4919,323.411,360.267,235000,28500,35000,8500,161.744,80411,80411,39924,39924,114665,114665
