StripChart:,HMI,
Date:, Thu Mar 09 20:00:43 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 2807,
Time Interval,         1, to ,     56121,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
         861,     116.091,     208.654,     281.329,     317.274,     359.151,     83703.1,      119873,     49984.3,     39992.3,     174.096,     162.461,     260.738,     64.9655,     323.686,     364.918,      234826,     25024.5,     38036.7,     10010.7,     164.969,       42850,     42819.7,       83256,       83189,      108816,      108894,
         881,     116.113,     208.656,     281.311,     317.265,     359.174,     83834.5,      119870,     49984.2,     39992.2,     174.096,     162.461,     260.738,     64.9655,     323.686,     364.918,      234863,     25023.8,     38035.7,     10010.4,     165.057,       42850,     42826.1,       83256,     83202.9,      108833,      108894,
         901,     116.135,     208.657,     281.291,     317.255,     359.197,     83963.3,      119867,     49984.1,     39992.2,     174.096,     162.461,     260.738,     64.9655,     323.644,     364.906,      234899,     25023.2,     38034.6,     10010.2,     165.142,       42850,     42832.4,       83256,     83216.3,      108849,      108894,
         921,     116.155,     208.655,      281.27,     317.243,     359.219,     84089.5,      119864,     49984.2,     39992.3,     174.103,     162.401,     260.712,     64.9316,     323.644,     364.906,      234933,     25022.5,     38033.5,     10009.9,     165.223,       42850,     42838.5,       83256,     83229.1,      108865,      108894,
         941,     116.174,     208.652,     281.247,      317.23,      359.24,     84212.9,      119861,     49984.2,     39992.3,     174.103,     162.401,     260.712,     64.9316,     323.644,     364.906,      234966,     25021.8,     38032.4,     10009.5,     165.302,       42850,     42844.3,       83256,     83241.2,      108879,      108894,
         961,     116.191,     208.648,     281.223,     317.215,     359.261,     84333.7,      119858,     49984.3,     39992.3,     174.103,     162.401,     260.712,     64.9316,     323.589,     364.889,      234997,       25021,     38031.3,     10009.2,     165.377,       42850,     42849.8,       83256,     83252.6,      108893,      108894,
         981,     116.207,     208.641,     281.198,     317.198,      359.28,     84451.5,      119856,     49984.4,     39992.4,     174.109,     162.341,     260.678,     64.8914,     323.589,     364.889,      235026,     25020.3,     38030.2,     10008.9,      165.45,       42850,       42855,       83256,     83263.2,      108906,      108894,
        1001,     116.223,     208.633,     281.172,     317.181,     359.299,     84566.6,      119854,     49984.6,     39992.5,     174.109,     162.341,     260.678,     64.8914,     323.589,     364.889,      235052,     25019.6,     38029.1,     10008.6,      165.52,       42850,     42859.8,       83256,     83273.1,      108919,      108894,
        1021,     116.237,     208.624,     281.145,     317.162,     359.318,     84679.1,      119851,     49984.7,     39992.6,     174.109,     162.341,     260.678,     64.8914,     323.518,     364.867,      235077,     25018.9,       38028,     10008.3,     165.588,       42850,     42864.3,       83256,     83282.3,      108930,      108894,
        1041,      116.25,     208.613,     281.117,     317.141,     359.334,     84788.6,      119849,       49985,     39992.7,     174.113,     162.277,     260.636,     64.8452,     323.518,     364.867,      235100,     25018.2,       38027,       10008,     165.652,       42850,     42868.4,       83256,     83290.7,      108941,      108894,
